7055513,6823424,1
7028337,6823692,1
7029259,6823692,1
7033572,6823692,1
7035521,6823692,1
7052965,6823692,1
7028189,6823898,1
7028205,6823898,1
7028239,6823898,1
7028283,6823898,1
7028555,6823898,2
7028819,6823898,2
7029134,6823898,1
7029021,6849160,1
7029128,6849161,1
6952799,6849164,1
6953760,6849164,1
6849464,6849166,2
6872893,6872369,1
7028061,6872369,3
7028070,6872369,1
7028218,6872369,1
7028311,6872369,1
7028321,6872369,1
7028365,6872369,1
7028449,6872369,1
7028473,6872369,2
7028580,6872369,2
7028592,6872369,1
7028642,6872369,2
7028685,6872369,1
7028761,6872369,1
7028809,6872369,1
7028829,6872369,1
7028882,6872369,1
7028995,6872369,2
7029113,6872369,2
7029124,6872369,4
7029248,6872369,2
7029287,6872369,3
7032585,6872369,2
7034252,6872369,1
7035521,6872369,1
7038320,6872369,2
7043040,6872369,1
7043367,6872369,1
7049613,6872369,1
7052820,6872369,1
7056243,6872369,1
7028216,6872485,2
7028329,6872485,4
7028477,6872485,1
7028483,6872485,1
7028514,6872485,4
7028595,6872485,3
7028729,6872485,1
7028780,6872485,2
7028792,6872485,2
7028824,6872485,4
7028833,6872485,1
7028972,6872485,1
7029163,6872485,5
7029207,6872485,1
7029266,6872485,6
7029271,6872485,1
7036497,6872485,1
7036716,6872485,1
7038523,6872485,1
7042209,6872485,1
7048084,6872485,1
7152216,6872485,1
7028091,6872493,1
7028134,6872493,1
7028216,6872493,6
7028237,6872493,1
7028462,6872493,1
7028477,6872493,4
7028480,6872493,1
7028495,6872493,1
7028542,6872493,1
7028570,6872493,1
7028604,6872493,1
7028665,6872493,2
7028677,6872493,2
7028689,6872493,2
7028780,6872493,6
7028856,6872493,1
7028889,6872493,1
7028984,6872493,1
7029263,6872493,1
7029266,6872493,2
7029356,6872493,6
7032341,6872493,2
7038523,6872493,1
7038630,6872493,1
7040081,6872493,1
7042209,6872493,2
7043420,6872493,1
7049558,6872493,1
7051037,6872493,1
7028312,6872496,1
7028416,6872496,1
7028560,6872496,2
7028695,6872496,1
7028713,6872496,1
7029123,6872496,2
7029252,6872496,1
7029300,6872496,2
7033050,6872496,1
7048540,6872496,3
7050575,6872496,1
7051274,6872496,2
7052677,6872496,1
7055109,6872496,1
6922303,6872513,1
7028065,6872513,1
7028089,6872513,1
7028097,6872513,1
7028111,6872513,2
7028389,6872513,2
7028549,6872513,2
7028568,6872513,1
7028622,6872513,3
7028731,6872513,4
7028745,6872513,1
7028819,6872513,1
7028832,6872513,2
7028886,6872513,1
7028942,6872513,1
7029134,6872513,3
7029139,6872513,2
7029250,6872513,1
7029271,6872513,1
7029343,6872513,1
7034980,6872513,1
7042388,6872513,1
7048376,6872513,1
