Flight ID,Carrier,Origin,Destination,Local Departure Time,Normalized Departure Time [min],Local Arrival Time,Normalized Arrival Time [min],Flight Cancelled?,Number of Seats
7127014,MQ,ROC,ORD,29-JUL-07 04.40.00.000000000 PM AMERICA/NEW_YORK,975,29-JUL-07 05.29.00.000000000 PM AMERICA/CHICAGO,1084,0,50
7144235,NW,MEM,PHL,29-JUL-07 06.40.00.000000000 PM AMERICA/CHICAGO,1155,29-JUL-07 10.10.00.000000000 PM AMERICA/NEW_YORK,1305,0,124
7124229,MQ,ORD,JFK,29-JUL-07 02.15.00.000000000 PM AMERICA/CHICAGO,890,29-JUL-07 05.35.00.000000000 PM AMERICA/NEW_YORK,1030,0,50
7135341,MQ,SDF,RDU,29-JUL-07 09.45.00.000000000 AM AMERICA/NEW_YORK,560,29-JUL-07 11.05.00.000000000 AM AMERICA/NEW_YORK,640,0,44
7131073,MQ,CMI,ORD,29-JUL-07 09.10.00.000000000 AM AMERICA/CHICAGO,585,29-JUL-07 10.00.00.000000000 AM AMERICA/CHICAGO,635,0,50
7131793,MQ,ORD,RST,29-JUL-07 07.20.00.000000000 AM AMERICA/CHICAGO,475,29-JUL-07 08.20.00.000000000 AM AMERICA/CHICAGO,535,0,50
7127485,MQ,AZO,ORD,29-JUL-07 07.10.00.000000000 PM AMERICA/NEW_YORK,1125,29-JUL-07 07.00.00.000000000 PM AMERICA/CHICAGO,1175,0,50
7128212,MQ,BDL,ORD,29-JUL-07 04.15.00.000000000 PM AMERICA/NEW_YORK,950,29-JUL-07 05.45.00.000000000 PM AMERICA/CHICAGO,1100,0,50
7124662,MQ,GRR,ORD,29-JUL-07 07.05.00.000000000 AM AMERICA/NEW_YORK,400,29-JUL-07 07.00.00.000000000 AM AMERICA/CHICAGO,455,0,50
7130545,MQ,ORD,TOL,29-JUL-07 08.50.00.000000000 PM AMERICA/CHICAGO,1285,29-JUL-07 10.45.00.000000000 PM AMERICA/NEW_YORK,1340,0,50
7130456,MQ,FNT,ORD,29-JUL-07 03.00.00.000000000 PM AMERICA/NEW_YORK,875,29-JUL-07 03.05.00.000000000 PM AMERICA/CHICAGO,940,0,50
7134178,MQ,MIA,CMH,29-JUL-07 05.30.00.000000000 PM AMERICA/NEW_YORK,1025,29-JUL-07 08.05.00.000000000 PM AMERICA/NEW_YORK,1180,0,44
7128451,MQ,ORD,BDL,29-JUL-07 09.55.00.000000000 AM AMERICA/CHICAGO,630,29-JUL-07 01.00.00.000000000 PM AMERICA/NEW_YORK,755,0,50
7131251,MQ,ORD,PIA,29-JUL-07 09.10.00.000000000 PM AMERICA/CHICAGO,1305,29-JUL-07 10.00.00.000000000 PM AMERICA/CHICAGO,1355,0,50
7124902,MQ,CMH,ORD,29-JUL-07 09.30.00.000000000 AM AMERICA/NEW_YORK,545,29-JUL-07 09.45.00.000000000 AM AMERICA/CHICAGO,620,0,70
7127671,MQ,BDL,ORD,29-JUL-07 10.30.00.000000000 AM AMERICA/NEW_YORK,605,29-JUL-07 11.55.00.000000000 AM AMERICA/CHICAGO,750,0,50
7144266,NW,MEM,LAX,29-JUL-07 02.20.00.000000000 PM AMERICA/CHICAGO,895,29-JUL-07 04.13.00.000000000 PM AMERICA/LOS_ANGELES,1128,0,148
7135621,MQ,BOS,CMH,29-JUL-07 06.25.00.000000000 PM AMERICA/NEW_YORK,1080,29-JUL-07 08.30.00.000000000 PM AMERICA/NEW_YORK,1205,0,44
7140796,MQ,LGA,CMH,29-JUL-07 06.00.00.000000000 PM AMERICA/NEW_YORK,1055,29-JUL-07 07.50.00.000000000 PM AMERICA/NEW_YORK,1165,0,37
7129929,MQ,ORD,ATL,29-JUL-07 09.35.00.000000000 AM AMERICA/CHICAGO,610,29-JUL-07 12.35.00.000000000 PM AMERICA/NEW_YORK,730,0,70
7130607,MQ,ORD,CLE,29-JUL-07 11.05.00.000000000 AM AMERICA/CHICAGO,700,29-JUL-07 01.15.00.000000000 PM AMERICA/NEW_YORK,770,0,50
7136449,MQ,BOS,DCA,29-JUL-07 01.45.00.000000000 PM AMERICA/NEW_YORK,800,29-JUL-07 03.25.00.000000000 PM AMERICA/NEW_YORK,900,0,37
7137148,MQ,RDU,EWR,29-JUL-07 11.30.00.000000000 AM AMERICA/NEW_YORK,665,29-JUL-07 01.00.00.000000000 PM AMERICA/NEW_YORK,755,0,37
7126310,MQ,ORD,RIC,29-JUL-07 08.00.00.000000000 AM AMERICA/CHICAGO,515,29-JUL-07 11.00.00.000000000 AM AMERICA/NEW_YORK,635,0,44
7126341,MQ,ORD,IND,29-JUL-07 07.55.00.000000000 AM AMERICA/CHICAGO,510,29-JUL-07 09.50.00.000000000 AM AMERICA/NEW_YORK,565,0,70
7128881,MQ,IND,ORD,29-JUL-07 08.10.00.000000000 PM AMERICA/NEW_YORK,1185,29-JUL-07 08.25.00.000000000 PM AMERICA/CHICAGO,1260,0,50
7129577,MQ,CMH,ORD,29-JUL-07 06.05.00.000000000 PM AMERICA/NEW_YORK,1060,29-JUL-07 06.30.00.000000000 PM AMERICA/CHICAGO,1145,0,70
7137897,MQ,RDU,CMH,29-JUL-07 02.00.00.000000000 PM AMERICA/NEW_YORK,815,29-JUL-07 03.20.00.000000000 PM AMERICA/NEW_YORK,895,0,37
7130332,MQ,XNA,ORD,29-JUL-07 11.10.00.000000000 AM AMERICA/CHICAGO,705,29-JUL-07 12.50.00.000000000 PM AMERICA/CHICAGO,805,0,50
7126004,MQ,ORD,EVV,29-JUL-07 09.55.00.000000000 AM AMERICA/CHICAGO,630,29-JUL-07 10.55.00.000000000 AM AMERICA/CHICAGO,690,0,50
7126035,MQ,ORD,LSE,29-JUL-07 09.20.00.000000000 AM AMERICA/CHICAGO,595,29-JUL-07 10.20.00.000000000 AM AMERICA/CHICAGO,655,0,50
7133335,MQ,DTW,ORD,29-JUL-07 08.00.00.000000000 PM AMERICA/NEW_YORK,1175,29-JUL-07 08.15.00.000000000 PM AMERICA/CHICAGO,1250,0,70
7129067,MQ,EVV,ORD,29-JUL-07 07.15.00.000000000 AM AMERICA/CHICAGO,470,29-JUL-07 08.30.00.000000000 AM AMERICA/CHICAGO,545,0,50
7125489,MQ,ORD,GRB,29-JUL-07 03.00.00.000000000 PM AMERICA/CHICAGO,935,29-JUL-07 03.55.00.000000000 PM AMERICA/CHICAGO,990,0,50
7130637,MQ,ORD,TOL,29-JUL-07 07.40.00.000000000 AM AMERICA/CHICAGO,495,29-JUL-07 09.30.00.000000000 AM AMERICA/NEW_YORK,545,0,50
7132721,MQ,ORD,BWI,29-JUL-07 04.15.00.000000000 PM AMERICA/CHICAGO,1010,29-JUL-07 07.15.00.000000000 PM AMERICA/NEW_YORK,1130,0,50
7127046,MQ,ORD,DSM,29-JUL-07 12.40.00.000000000 PM AMERICA/CHICAGO,795,29-JUL-07 01.50.00.000000000 PM AMERICA/CHICAGO,865,0,50
7129864,MQ,MQT,MSN,29-JUL-07 07.55.00.000000000 AM AMERICA/NEW_YORK,450,29-JUL-07 07.50.00.000000000 AM AMERICA/CHICAGO,505,0,50
7129865,MQ,MSN,ORD,29-JUL-07 08.15.00.000000000 AM AMERICA/CHICAGO,530,29-JUL-07 09.00.00.000000000 AM AMERICA/CHICAGO,575,0,50
7141293,MQ,LGA,CMH,29-JUL-07 09.15.00.000000000 PM AMERICA/NEW_YORK,1250,29-JUL-07 11.00.00.000000000 PM AMERICA/NEW_YORK,1355,0,44
