,,,out,,,,,,
7034165,EV,ACY,ATL,29-JUL-07 06.30.00.000000000 AM AMERICA/NEW_YORK,365,29-JUL-07 08.49.00.000000000 AM AMERICA/NEW_YORK,504,0,50
7034856,EV,VLD,ATL,29-JUL-07 10.40.00.000000000 AM AMERICA/NEW_YORK,615,29-JUL-07 11.45.00.000000000 AM AMERICA/NEW_YORK,680,0,50
7041516,EV,ATL,SHV,29-JUL-07 10.06.00.000000000 AM AMERICA/NEW_YORK,581,29-JUL-07 10.53.00.000000000 AM AMERICA/CHICAGO,688,0,50
7042209,EV,ICT,ATL,29-JUL-07 05.15.00.000000000 PM AMERICA/CHICAGO,1070,29-JUL-07 08.27.00.000000000 PM AMERICA/NEW_YORK,1202,0,50
7044843,EV,ATL,PNS,29-JUL-07 06.40.00.000000000 PM AMERICA/NEW_YORK,1095,29-JUL-07 06.53.00.000000000 PM AMERICA/CHICAGO,1168,0,70
7038439,EV,ATL,PFN,29-JUL-07 09.30.00.000000000 AM AMERICA/NEW_YORK,545,29-JUL-07 09.40.00.000000000 AM AMERICA/CHICAGO,615,0,50
7039139,EV,ATL,FAY,29-JUL-07 07.13.00.000000000 PM AMERICA/NEW_YORK,1128,29-JUL-07 08.34.00.000000000 PM AMERICA/NEW_YORK,1209,0,50
7040257,EV,ATL,FNT,29-JUL-07 03.29.00.000000000 PM AMERICA/NEW_YORK,904,29-JUL-07 05.25.00.000000000 PM AMERICA/NEW_YORK,1020,0,50
7045561,EV,PFN,ATL,29-JUL-07 11.33.00.000000000 AM AMERICA/CHICAGO,728,29-JUL-07 02.03.00.000000000 PM AMERICA/NEW_YORK,818,0,66
7041352,EV,GRR,ATL,29-JUL-07 12.25.00.000000000 PM AMERICA/NEW_YORK,720,29-JUL-07 02.35.00.000000000 PM AMERICA/NEW_YORK,850,0,50
7042071,EV,ATL,LFT,29-JUL-07 04.42.00.000000000 PM AMERICA/NEW_YORK,977,29-JUL-07 05.25.00.000000000 PM AMERICA/CHICAGO,1080,0,50
7037107,EV,ATL,AEX,29-JUL-07 01.45.00.000000000 PM AMERICA/NEW_YORK,800,29-JUL-07 02.20.00.000000000 PM AMERICA/CHICAGO,895,0,50
