,,,out,,,,,,
7029230,DL,ATL,RDU,29-JUL-07 11.15.00.000000000 AM AMERICA/NEW_YORK,650,29-JUL-07 12.38.00.000000000 PM AMERICA/NEW_YORK,733,0,183
7029271,DL,LAS,ATL,29-JUL-07 10.50.00.000000000 AM AMERICA/LOS_ANGELES,805,29-JUL-07 05.52.00.000000000 PM AMERICA/NEW_YORK,1047,0,256
7028622,DL,CHS,ATL,29-JUL-07 04.50.00.000000000 PM AMERICA/NEW_YORK,985,29-JUL-07 06.01.00.000000000 PM AMERICA/NEW_YORK,1056,0,142
7045920,EV,ATL,SHV,29-JUL-07 06.32.00.000000000 PM AMERICA/NEW_YORK,1087,29-JUL-07 07.21.00.000000000 PM AMERICA/CHICAGO,1196,0,50
7037449,EV,ATL,EVV,29-JUL-07 04.51.00.000000000 PM AMERICA/NEW_YORK,986,29-JUL-07 05.15.00.000000000 PM AMERICA/CHICAGO,1070,0,50
7042458,EV,ATL,ORF,29-JUL-07 08.42.00.000000000 AM AMERICA/NEW_YORK,497,29-JUL-07 10.15.00.000000000 AM AMERICA/NEW_YORK,590,0,70
7037550,EV,STL,ATL,29-JUL-07 06.50.00.000000000 PM AMERICA/CHICAGO,1165,29-JUL-07 09.34.00.000000000 PM AMERICA/NEW_YORK,1269,0,50
7036973,EV,ATL,CAK,29-JUL-07 07.59.00.000000000 PM AMERICA/NEW_YORK,1174,29-JUL-07 09.44.00.000000000 PM AMERICA/NEW_YORK,1279,0,70
7028642,DL,RSW,ATL,29-JUL-07 12.12.00.000000000 PM AMERICA/NEW_YORK,707,29-JUL-07 01.54.00.000000000 PM AMERICA/NEW_YORK,809,0,142
7040433,EV,ATL,FSD,29-JUL-07 12.05.00.000000000 PM AMERICA/NEW_YORK,700,29-JUL-07 01.46.00.000000000 PM AMERICA/CHICAGO,861,0,50
7088761,FL,MEM,ATL,29-JUL-07 08.05.00.000000000 PM AMERICA/CHICAGO,1240,29-JUL-07 10.19.00.000000000 PM AMERICA/NEW_YORK,1314,1,117
7088302,FL,ATL,MCO,29-JUL-07 03.29.00.000000000 PM AMERICA/NEW_YORK,904,29-JUL-07 04.54.00.000000000 PM AMERICA/NEW_YORK,989,0,137
7088191,FL,ATL,CLT,29-JUL-07 05.45.00.000000000 PM AMERICA/NEW_YORK,1040,29-JUL-07 06.56.00.000000000 PM AMERICA/NEW_YORK,1111,0,117
7088880,FL,SEA,ATL,29-JUL-07 07.20.00.000000000 AM AMERICA/LOS_ANGELES,595,29-JUL-07 03.04.00.000000000 PM AMERICA/NEW_YORK,879,0,137
7035832,EV,GRR,ATL,29-JUL-07 02.45.00.000000000 PM AMERICA/NEW_YORK,860,29-JUL-07 04.56.00.000000000 PM AMERICA/NEW_YORK,991,0,50
7036578,EV,VPS,ATL,29-JUL-07 05.02.00.000000000 PM AMERICA/CHICAGO,1057,29-JUL-07 07.16.00.000000000 PM AMERICA/NEW_YORK,1131,0,70
7088513,FL,CHS,ATL,29-JUL-07 10.50.00.000000000 AM AMERICA/NEW_YORK,625,29-JUL-07 12.05.00.000000000 PM AMERICA/NEW_YORK,700,0,117
7088559,FL,DTW,ATL,29-JUL-07 06.25.00.000000000 AM AMERICA/NEW_YORK,360,29-JUL-07 08.21.00.000000000 AM AMERICA/NEW_YORK,476,0,117
7088570,FL,EWR,ATL,29-JUL-07 07.43.00.000000000 PM AMERICA/NEW_YORK,1158,29-JUL-07 10.20.00.000000000 PM AMERICA/NEW_YORK,1315,1,117
7029197,DL,RDU,ATL,29-JUL-07 01.28.00.000000000 PM AMERICA/NEW_YORK,783,29-JUL-07 02.50.00.000000000 PM AMERICA/NEW_YORK,865,0,183
7028514,DL,PDX,ATL,29-JUL-07 02.08.00.000000000 PM AMERICA/LOS_ANGELES,1003,29-JUL-07 09.54.00.000000000 PM AMERICA/NEW_YORK,1289,0,180
7028743,DL,ATL,SMF,29-JUL-07 08.45.00.000000000 PM AMERICA/NEW_YORK,1220,29-JUL-07 10.41.00.000000000 PM AMERICA/LOS_ANGELES,1516,0,183
7028762,DL,ATL,MCI,29-JUL-07 05.00.00.000000000 PM AMERICA/NEW_YORK,995,29-JUL-07 06.08.00.000000000 PM AMERICA/CHICAGO,1123,0,142
7028884,DL,ATL,LAS,29-JUL-07 02.35.00.000000000 PM AMERICA/NEW_YORK,850,29-JUL-07 03.50.00.000000000 PM AMERICA/LOS_ANGELES,1105,0,183
7028171,DL,ATL,RSW,29-JUL-07 02.25.00.000000000 PM AMERICA/NEW_YORK,840,29-JUL-07 04.04.00.000000000 PM AMERICA/NEW_YORK,939,0,142
7028174,DL,DCA,ATL,29-JUL-07 12.55.00.000000000 PM AMERICA/NEW_YORK,750,29-JUL-07 02.42.00.000000000 PM AMERICA/NEW_YORK,857,0,142
7028272,DL,LGA,ATL,29-JUL-07 01.00.00.000000000 PM AMERICA/NEW_YORK,755,29-JUL-07 03.25.00.000000000 PM AMERICA/NEW_YORK,900,0,142
7049583,EV,ATL,TRI,29-JUL-07 12.08.00.000000000 PM AMERICA/NEW_YORK,703,29-JUL-07 01.34.00.000000000 PM AMERICA/NEW_YORK,789,0,66
7053247,EV,ATL,LAN,29-JUL-07 03.28.00.000000000 PM AMERICA/NEW_YORK,903,29-JUL-07 05.25.00.000000000 PM AMERICA/NEW_YORK,1020,0,40
7088625,FL,IND,ATL,29-JUL-07 05.49.00.000000000 PM AMERICA/NEW_YORK,1044,29-JUL-07 07.19.00.000000000 PM AMERICA/NEW_YORK,1134,0,137
7032668,EV,BTR,ATL,29-JUL-07 06.00.00.000000000 AM AMERICA/CHICAGO,395,29-JUL-07 08.31.00.000000000 AM AMERICA/NEW_YORK,486,0,70
7237914,AA,MIA,ATL,29-JUL-07 09.05.00.000000000 PM AMERICA/NEW_YORK,1240,29-JUL-07 11.00.00.000000000 PM AMERICA/NEW_YORK,1355,1,148
6922322,OO,ATL,BUF,29-JUL-07 12.22.00.000000000 PM AMERICA/NEW_YORK,717,29-JUL-07 02.22.00.000000000 PM AMERICA/NEW_YORK,837,0,90
6922317,OO,MKE,ATL,29-JUL-07 05.15.00.000000000 PM AMERICA/CHICAGO,1070,29-JUL-07 08.23.00.000000000 PM AMERICA/NEW_YORK,1198,0,90
6922330,OO,ATL,BNA,29-JUL-07 04.55.00.000000000 PM AMERICA/NEW_YORK,990,29-JUL-07 05.02.00.000000000 PM AMERICA/CHICAGO,1057,0,75
7029319,DL,ATL,LAX,29-JUL-07 09.35.00.000000000 PM AMERICA/NEW_YORK,1270,29-JUL-07 11.23.00.000000000 PM AMERICA/LOS_ANGELES,1558,0,183
7028665,DL,MCI,ATL,29-JUL-07 04.25.00.000000000 PM AMERICA/CHICAGO,1020,29-JUL-07 07.23.00.000000000 PM AMERICA/NEW_YORK,1138,0,142
7028732,DL,ATL,IAH,29-JUL-07 06.42.00.000000000 PM AMERICA/NEW_YORK,1097,29-JUL-07 07.51.00.000000000 PM AMERICA/CHICAGO,1226,0,142
7028077,DL,ATL,DEN,29-JUL-07 05.54.00.000000000 PM AMERICA/NEW_YORK,1049,29-JUL-07 07.06.00.000000000 PM AMERICA/DENVER,1241,0,186
7028096,DL,ATL,SFO,29-JUL-07 05.40.00.000000000 PM AMERICA/NEW_YORK,1035,29-JUL-07 07.56.00.000000000 PM AMERICA/LOS_ANGELES,1351,0,180
7028824,DL,TPA,ATL,29-JUL-07 07.56.00.000000000 PM AMERICA/NEW_YORK,1171,29-JUL-07 09.30.00.000000000 PM AMERICA/NEW_YORK,1265,1,142
7033527,EV,MSP,ATL,29-JUL-07 10.10.00.000000000 AM AMERICA/CHICAGO,645,29-JUL-07 01.41.00.000000000 PM AMERICA/NEW_YORK,796,0,70
7032407,EV,ROC,ATL,29-JUL-07 12.45.00.000000000 PM AMERICA/NEW_YORK,740,29-JUL-07 03.00.00.000000000 PM AMERICA/NEW_YORK,875,0,70
7041383,EV,ATL,VPS,29-JUL-07 08.20.00.000000000 PM AMERICA/NEW_YORK,1195,29-JUL-07 08.27.00.000000000 PM AMERICA/CHICAGO,1262,0,70
6872513,OH,ATL,SGF,29-JUL-07 06.50.00.000000000 PM AMERICA/NEW_YORK,1105,29-JUL-07 07.37.00.000000000 PM AMERICA/CHICAGO,1212,0,50
7029144,DL,ATL,DAB,29-JUL-07 06.30.00.000000000 PM AMERICA/NEW_YORK,1085,29-JUL-07 07.52.00.000000000 PM AMERICA/NEW_YORK,1167,0,142
7028474,DL,ATL,DFW,29-JUL-07 11.10.00.000000000 AM AMERICA/NEW_YORK,645,29-JUL-07 12.25.00.000000000 PM AMERICA/CHICAGO,780,0,142
7028863,DL,ATL,MCI,29-JUL-07 02.39.00.000000000 PM AMERICA/NEW_YORK,854,29-JUL-07 03.42.00.000000000 PM AMERICA/CHICAGO,977,0,142
7028251,DL,LGA,ATL,29-JUL-07 06.00.00.000000000 AM AMERICA/NEW_YORK,335,29-JUL-07 08.34.00.000000000 AM AMERICA/NEW_YORK,489,0,183
7029015,DL,RDU,ATL,29-JUL-07 05.16.00.000000000 PM AMERICA/NEW_YORK,1011,29-JUL-07 06.39.00.000000000 PM AMERICA/NEW_YORK,1094,0,186
7028325,DL,ATL,SAV,29-JUL-07 05.44.00.000000000 PM AMERICA/NEW_YORK,1039,29-JUL-07 06.55.00.000000000 PM AMERICA/NEW_YORK,1110,1,142
7029061,DL,MSP,ATL,29-JUL-07 03.59.00.000000000 PM AMERICA/CHICAGO,994,29-JUL-07 07.33.00.000000000 PM AMERICA/NEW_YORK,1148,0,142
7033627,EV,TRI,ATL,29-JUL-07 02.04.00.000000000 PM AMERICA/NEW_YORK,819,29-JUL-07 03.29.00.000000000 PM AMERICA/NEW_YORK,904,0,66
7034334,EV,PVD,ATL,29-JUL-07 05.45.00.000000000 PM AMERICA/NEW_YORK,1040,29-JUL-07 08.35.00.000000000 PM AMERICA/NEW_YORK,1210,0,55
7032561,EV,ATL,ALB,29-JUL-07 02.47.00.000000000 PM AMERICA/NEW_YORK,862,29-JUL-07 05.09.00.000000000 PM AMERICA/NEW_YORK,1004,0,70
7088455,FL,BWI,ATL,29-JUL-07 06.40.00.000000000 AM AMERICA/NEW_YORK,375,29-JUL-07 08.33.00.000000000 AM AMERICA/NEW_YORK,488,0,137
7050427,EV,ATL,EVV,29-JUL-07 11.35.00.000000000 AM AMERICA/NEW_YORK,670,29-JUL-07 11.57.00.000000000 AM AMERICA/CHICAGO,752,0,40
7250829,AA,DFW,ATL,29-JUL-07 09.05.00.000000000 PM AMERICA/CHICAGO,1300,30-JUL-07 12.05.00.000000000 AM AMERICA/NEW_YORK,1420,0,148
7037175,EV,ATL,IAH,29-JUL-07 11.20.00.000000000 AM AMERICA/NEW_YORK,655,29-JUL-07 12.30.00.000000000 PM AMERICA/CHICAGO,785,0,70
7088614,FL,IAD,ATL,29-JUL-07 03.46.00.000000000 PM AMERICA/NEW_YORK,921,29-JUL-07 05.36.00.000000000 PM AMERICA/NEW_YORK,1031,0,117
7088181,FL,ATL,CAK,29-JUL-07 02.40.00.000000000 PM AMERICA/NEW_YORK,855,29-JUL-07 04.19.00.000000000 PM AMERICA/NEW_YORK,954,0,117
7088201,FL,ATL,DCA,29-JUL-07 08.35.00.000000000 PM AMERICA/NEW_YORK,1210,29-JUL-07 10.18.00.000000000 PM AMERICA/NEW_YORK,1313,0,137
7033268,EV,ATL,MCN,29-JUL-07 09.29.00.000000000 PM AMERICA/NEW_YORK,1264,29-JUL-07 10.09.00.000000000 PM AMERICA/NEW_YORK,1304,0,50
7032585,EV,OKC,ATL,29-JUL-07 10.55.00.000000000 AM AMERICA/CHICAGO,690,29-JUL-07 02.06.00.000000000 PM AMERICA/NEW_YORK,821,0,70
7028416,DL,SRQ,ATL,29-JUL-07 06.15.00.000000000 AM AMERICA/NEW_YORK,350,29-JUL-07 07.47.00.000000000 AM AMERICA/NEW_YORK,442,0,142
7028462,DL,LAS,ATL,29-JUL-07 12.05.00.000000000 PM AMERICA/LOS_ANGELES,880,29-JUL-07 07.10.00.000000000 PM AMERICA/NEW_YORK,1125,0,252
7029145,DL,ATL,PVD,29-JUL-07 06.30.00.000000000 PM AMERICA/NEW_YORK,1085,29-JUL-07 08.58.00.000000000 PM AMERICA/NEW_YORK,1233,0,142
7028497,DL,IAD,ATL,29-JUL-07 05.38.00.000000000 PM AMERICA/NEW_YORK,1033,29-JUL-07 07.26.00.000000000 PM AMERICA/NEW_YORK,1141,0,142
7029161,DL,SAT,ATL,29-JUL-07 03.59.00.000000000 PM AMERICA/CHICAGO,994,29-JUL-07 07.27.00.000000000 PM AMERICA/NEW_YORK,1142,0,142
7028531,DL,LAX,ATL,29-JUL-07 11.55.00.000000000 PM AMERICA/LOS_ANGELES,1590,30-JUL-07 07.11.00.000000000 AM AMERICA/NEW_YORK,1846,0,252
7028626,DL,LAX,ATL,29-JUL-07 10.00.00.000000000 AM AMERICA/LOS_ANGELES,755,29-JUL-07 05.27.00.000000000 PM AMERICA/NEW_YORK,1022,0,183
7028181,DL,ATL,AUS,29-JUL-07 06.39.00.000000000 PM AMERICA/NEW_YORK,1094,29-JUL-07 07.56.00.000000000 PM AMERICA/CHICAGO,1231,0,142
7028915,DL,ATL,MEM,29-JUL-07 03.58.00.000000000 PM AMERICA/NEW_YORK,933,29-JUL-07 04.19.00.000000000 PM AMERICA/CHICAGO,1014,0,142
7028957,DL,ATL,BDL,29-JUL-07 09.25.00.000000000 PM AMERICA/NEW_YORK,1260,29-JUL-07 11.49.00.000000000 PM AMERICA/NEW_YORK,1404,0,142
7028974,DL,ATL,RIC,29-JUL-07 08.25.00.000000000 PM AMERICA/NEW_YORK,1200,29-JUL-07 10.02.00.000000000 PM AMERICA/NEW_YORK,1297,0,183
7028266,DL,ATL,MIA,29-JUL-07 02.49.00.000000000 PM AMERICA/NEW_YORK,864,29-JUL-07 04.39.00.000000000 PM AMERICA/NEW_YORK,974,0,186
7028353,DL,ATL,FLL,29-JUL-07 03.05.00.000000000 PM AMERICA/NEW_YORK,880,29-JUL-07 04.57.00.000000000 PM AMERICA/NEW_YORK,992,0,252
7028366,DL,ATL,SJU,29-JUL-07 02.50.00.000000000 PM AMERICA/NEW_YORK,865,29-JUL-07 06.32.00.000000000 PM AMERICA/PUERTO_RICO,1087,0,256
7035231,EV,AGS,ATL,29-JUL-07 02.15.00.000000000 PM AMERICA/NEW_YORK,830,29-JUL-07 03.22.00.000000000 PM AMERICA/NEW_YORK,897,0,66
7047772,EV,ATL,ILM,29-JUL-07 04.25.00.000000000 PM AMERICA/NEW_YORK,960,29-JUL-07 05.49.00.000000000 PM AMERICA/NEW_YORK,1044,0,50
7056691,EV,ATL,GSO,29-JUL-07 12.20.00.000000000 PM AMERICA/NEW_YORK,715,29-JUL-07 01.32.00.000000000 PM AMERICA/NEW_YORK,787,0,70
7052561,EV,ATL,PVD,29-JUL-07 09.34.00.000000000 AM AMERICA/NEW_YORK,549,29-JUL-07 12.09.00.000000000 PM AMERICA/NEW_YORK,704,0,50
7042931,EV,FWA,ATL,29-JUL-07 05.00.00.000000000 PM AMERICA/NEW_YORK,995,29-JUL-07 06.49.00.000000000 PM AMERICA/NEW_YORK,1104,0,50
7045951,EV,FNT,ATL,29-JUL-07 03.35.00.000000000 PM AMERICA/NEW_YORK,910,29-JUL-07 05.48.00.000000000 PM AMERICA/NEW_YORK,1043,0,50
7029339,DL,ATL,OAK,29-JUL-07 08.45.00.000000000 AM AMERICA/NEW_YORK,500,29-JUL-07 10.36.00.000000000 AM AMERICA/LOS_ANGELES,791,0,183
7028735,DL,ATL,MSP,29-JUL-07 08.15.00.000000000 PM AMERICA/NEW_YORK,1190,29-JUL-07 09.58.00.000000000 PM AMERICA/CHICAGO,1353,0,142
7028079,DL,ATL,MIA,29-JUL-07 08.25.00.000000000 PM AMERICA/NEW_YORK,1200,29-JUL-07 10.19.00.000000000 PM AMERICA/NEW_YORK,1314,0,183
7028098,DL,ATL,MIA,29-JUL-07 05.15.00.000000000 PM AMERICA/NEW_YORK,1010,29-JUL-07 07.19.00.000000000 PM AMERICA/NEW_YORK,1134,0,142
7039017,EV,ATL,ALB,29-JUL-07 05.55.00.000000000 PM AMERICA/NEW_YORK,1050,29-JUL-07 08.21.00.000000000 PM AMERICA/NEW_YORK,1196,0,70
7040460,EV,PHF,ATL,29-JUL-07 09.35.00.000000000 AM AMERICA/NEW_YORK,550,29-JUL-07 11.23.00.000000000 AM AMERICA/NEW_YORK,658,0,50
7032832,EV,ATL,STL,29-JUL-07 10.06.00.000000000 AM AMERICA/NEW_YORK,581,29-JUL-07 10.57.00.000000000 AM AMERICA/CHICAGO,692,0,55
7047651,EV,SAV,ATL,29-JUL-07 01.00.00.000000000 PM AMERICA/NEW_YORK,755,29-JUL-07 02.07.00.000000000 PM AMERICA/NEW_YORK,822,0,50
7051474,EV,ATL,ROA,29-JUL-07 08.35.00.000000000 AM AMERICA/NEW_YORK,490,29-JUL-07 09.59.00.000000000 AM AMERICA/NEW_YORK,574,0,50
7046957,EV,MGM,ATL,29-JUL-07 07.00.00.000000000 AM AMERICA/CHICAGO,455,29-JUL-07 08.55.00.000000000 AM AMERICA/NEW_YORK,510,0,50
7042131,EV,ATL,SYR,29-JUL-07 12.41.00.000000000 PM AMERICA/NEW_YORK,736,29-JUL-07 02.54.00.000000000 PM AMERICA/NEW_YORK,869,0,50
7039441,EV,EVV,ATL,29-JUL-07 05.40.00.000000000 PM AMERICA/CHICAGO,1095,29-JUL-07 08.00.00.000000000 PM AMERICA/NEW_YORK,1175,0,50
7088452,FL,BUF,ATL,29-JUL-07 01.57.00.000000000 PM AMERICA/NEW_YORK,812,29-JUL-07 04.02.00.000000000 PM AMERICA/NEW_YORK,937,0,117
7042513,EV,ATL,OKC,29-JUL-07 09.23.00.000000000 AM AMERICA/NEW_YORK,538,29-JUL-07 10.39.00.000000000 AM AMERICA/CHICAGO,674,0,70
7041219,EV,ATL,BTR,29-JUL-07 09.37.00.000000000 AM AMERICA/NEW_YORK,552,29-JUL-07 10.17.00.000000000 AM AMERICA/CHICAGO,652,0,50
7037659,EV,ATL,LEX,29-JUL-07 05.08.00.000000000 PM AMERICA/NEW_YORK,1003,29-JUL-07 06.30.00.000000000 PM AMERICA/NEW_YORK,1085,0,50
7088795,FL,MSY,ATL,29-JUL-07 06.15.00.000000000 PM AMERICA/CHICAGO,1130,29-JUL-07 08.38.00.000000000 PM AMERICA/NEW_YORK,1213,0,117
7088802,FL,PHF,ATL,29-JUL-07 10.13.00.000000000 AM AMERICA/NEW_YORK,588,29-JUL-07 11.58.00.000000000 AM AMERICA/NEW_YORK,693,0,137
7088281,FL,ATL,LGA,29-JUL-07 09.10.00.000000000 AM AMERICA/NEW_YORK,525,29-JUL-07 11.22.00.000000000 AM AMERICA/NEW_YORK,657,0,117
7163292,NW,ATL,MEM,29-JUL-07 01.10.00.000000000 PM AMERICA/NEW_YORK,765,29-JUL-07 01.34.00.000000000 PM AMERICA/CHICAGO,849,0,125
7088174,FL,ATL,BWI,29-JUL-07 09.25.00.000000000 AM AMERICA/NEW_YORK,540,29-JUL-07 11.13.00.000000000 AM AMERICA/NEW_YORK,648,0,137
7088227,FL,ATL,FLL,29-JUL-07 09.35.00.000000000 AM AMERICA/NEW_YORK,550,29-JUL-07 11.24.00.000000000 AM AMERICA/NEW_YORK,659,0,117
7248844,AA,DFW,ATL,29-JUL-07 02.40.00.000000000 PM AMERICA/CHICAGO,915,29-JUL-07 06.00.00.000000000 PM AMERICA/NEW_YORK,1055,0,148
7066046,F9,DEN,ATL,29-JUL-07 01.30.00.000000000 PM AMERICA/DENVER,905,29-JUL-07 06.25.00.000000000 PM AMERICA/NEW_YORK,1080,0,132
7028414,DL,BOS,ATL,29-JUL-07 07.15.00.000000000 AM AMERICA/NEW_YORK,410,29-JUL-07 09.59.00.000000000 AM AMERICA/NEW_YORK,574,0,142
7028495,DL,JAX,ATL,29-JUL-07 07.27.00.000000000 PM AMERICA/NEW_YORK,1142,29-JUL-07 08.40.00.000000000 PM AMERICA/NEW_YORK,1215,0,183
7028802,DL,ATL,TPA,29-JUL-07 07.19.00.000000000 AM AMERICA/NEW_YORK,414,29-JUL-07 08.35.00.000000000 AM AMERICA/NEW_YORK,490,0,183
7028833,DL,MIA,ATL,29-JUL-07 08.00.00.000000000 PM AMERICA/NEW_YORK,1175,29-JUL-07 09.52.00.000000000 PM AMERICA/NEW_YORK,1287,0,142
7028117,DL,ATL,LAX,29-JUL-07 04.15.00.000000000 PM AMERICA/NEW_YORK,950,29-JUL-07 06.09.00.000000000 PM AMERICA/LOS_ANGELES,1244,0,252
7028137,DL,MCO,ATL,29-JUL-07 05.30.00.000000000 PM AMERICA/NEW_YORK,1025,29-JUL-07 07.03.00.000000000 PM AMERICA/NEW_YORK,1118,0,252
7028223,DL,FLL,ATL,29-JUL-07 10.50.00.000000000 AM AMERICA/NEW_YORK,625,29-JUL-07 12.40.00.000000000 PM AMERICA/NEW_YORK,735,0,142
7033853,EV,ATL,MGM,29-JUL-07 10.36.00.000000000 PM AMERICA/NEW_YORK,1331,29-JUL-07 10.24.00.000000000 PM AMERICA/CHICAGO,1379,0,50
7035458,EV,ATL,ABY,29-JUL-07 04.23.00.000000000 PM AMERICA/NEW_YORK,958,29-JUL-07 05.20.00.000000000 PM AMERICA/NEW_YORK,1015,0,40
7088552,FL,DFW,ATL,29-JUL-07 01.09.00.000000000 PM AMERICA/CHICAGO,824,29-JUL-07 04.12.00.000000000 PM AMERICA/NEW_YORK,947,0,137
7088575,FL,FLL,ATL,29-JUL-07 11.59.00.000000000 AM AMERICA/NEW_YORK,694,29-JUL-07 01.50.00.000000000 PM AMERICA/NEW_YORK,805,0,117
7088645,FL,LAS,ATL,29-JUL-07 03.10.00.000000000 PM AMERICA/LOS_ANGELES,1065,29-JUL-07 10.14.00.000000000 PM AMERICA/NEW_YORK,1309,0,137
7088671,FL,MCI,ATL,29-JUL-07 09.39.00.000000000 AM AMERICA/CHICAGO,614,29-JUL-07 12.36.00.000000000 PM AMERICA/NEW_YORK,731,0,117
7041825,EV,ATL,ILG,29-JUL-07 08.05.00.000000000 PM AMERICA/NEW_YORK,1180,29-JUL-07 10.15.00.000000000 PM AMERICA/NEW_YORK,1310,0,50
7028260,DL,ATL,LGA,29-JUL-07 09.45.00.000000000 AM AMERICA/NEW_YORK,560,29-JUL-07 12.10.00.000000000 PM AMERICA/NEW_YORK,705,0,142
7028279,DL,LGA,ATL,29-JUL-07 04.00.00.000000000 PM AMERICA/NEW_YORK,935,29-JUL-07 06.37.00.000000000 PM AMERICA/NEW_YORK,1092,0,142
7029016,DL,ATL,SNA,29-JUL-07 07.40.00.000000000 PM AMERICA/NEW_YORK,1155,29-JUL-07 09.09.00.000000000 PM AMERICA/LOS_ANGELES,1424,0,186
7035109,EV,ATL,TRI,29-JUL-07 04.00.00.000000000 PM AMERICA/NEW_YORK,935,29-JUL-07 05.27.00.000000000 PM AMERICA/NEW_YORK,1022,1,66
7055615,EV,ATL,FLO,29-JUL-07 06.27.00.000000000 PM AMERICA/NEW_YORK,1082,29-JUL-07 07.43.00.000000000 PM AMERICA/NEW_YORK,1158,0,41
7052907,EV,ATL,ILM,29-JUL-07 02.35.00.000000000 PM AMERICA/NEW_YORK,850,29-JUL-07 03.54.00.000000000 PM AMERICA/NEW_YORK,929,0,50
6849159,YV,ATL,CLT,29-JUL-07 07.38.00.000000000 AM AMERICA/NEW_YORK,433,29-JUL-07 08.51.00.000000000 AM AMERICA/NEW_YORK,506,0,86
7044539,EV,ATL,AUS,29-JUL-07 12.51.00.000000000 PM AMERICA/NEW_YORK,746,29-JUL-07 02.11.00.000000000 PM AMERICA/CHICAGO,886,0,50
7039634,EV,ATL,MDW,29-JUL-07 08.05.00.000000000 PM AMERICA/NEW_YORK,1180,29-JUL-07 08.55.00.000000000 PM AMERICA/CHICAGO,1290,0,70
6939730,UA,DEN,ATL,29-JUL-07 10.00.00.000000000 AM AMERICA/DENVER,695,29-JUL-07 03.10.00.000000000 PM AMERICA/NEW_YORK,885,0,123
6922300,OO,MSP,ATL,29-JUL-07 05.57.00.000000000 PM AMERICA/CHICAGO,1112,29-JUL-07 09.35.00.000000000 PM AMERICA/NEW_YORK,1270,0,90
7050369,EV,CHO,ATL,29-JUL-07 11.15.00.000000000 AM AMERICA/NEW_YORK,650,29-JUL-07 12.46.00.000000000 PM AMERICA/NEW_YORK,741,0,40
7152192,NW,ATL,DTW,29-JUL-07 10.15.00.000000000 AM AMERICA/NEW_YORK,590,29-JUL-07 12.27.00.000000000 PM AMERICA/NEW_YORK,722,0,100
7152453,NW,ATL,DTW,29-JUL-07 06.03.00.000000000 PM AMERICA/NEW_YORK,1058,29-JUL-07 08.15.00.000000000 PM AMERICA/NEW_YORK,1190,0,110
7039956,EV,ATL,LEX,29-JUL-07 08.00.00.000000000 AM AMERICA/NEW_YORK,455,29-JUL-07 09.28.00.000000000 AM AMERICA/NEW_YORK,543,0,50
7040724,EV,TUL,ATL,29-JUL-07 06.00.00.000000000 AM AMERICA/CHICAGO,395,29-JUL-07 09.02.00.000000000 AM AMERICA/NEW_YORK,517,0,50
7040173,EV,ATL,SYR,29-JUL-07 03.17.00.000000000 PM AMERICA/NEW_YORK,892,29-JUL-07 05.34.00.000000000 PM AMERICA/NEW_YORK,1029,0,50
7046005,EV,FWA,ATL,29-JUL-07 06.00.00.000000000 AM AMERICA/NEW_YORK,335,29-JUL-07 07.46.00.000000000 AM AMERICA/NEW_YORK,441,0,50
7088167,FL,ATL,BOS,29-JUL-07 05.59.00.000000000 PM AMERICA/NEW_YORK,1054,29-JUL-07 08.38.00.000000000 PM AMERICA/NEW_YORK,1213,0,117
7088211,FL,ATL,DFW,29-JUL-07 02.01.00.000000000 PM AMERICA/NEW_YORK,816,29-JUL-07 03.19.00.000000000 PM AMERICA/CHICAGO,954,0,117
7088886,FL,SFO,ATL,29-JUL-07 02.01.00.000000000 PM AMERICA/LOS_ANGELES,996,29-JUL-07 09.50.00.000000000 PM AMERICA/NEW_YORK,1285,0,137
7088428,FL,BOS,ATL,29-JUL-07 05.46.00.000000000 PM AMERICA/NEW_YORK,1041,29-JUL-07 08.33.00.000000000 PM AMERICA/NEW_YORK,1208,0,117
7088461,FL,BWI,ATL,29-JUL-07 08.00.00.000000000 PM AMERICA/NEW_YORK,1175,29-JUL-07 09.54.00.000000000 PM AMERICA/NEW_YORK,1289,0,117
7088792,FL,MSY,ATL,29-JUL-07 01.44.00.000000000 PM AMERICA/CHICAGO,859,29-JUL-07 04.07.00.000000000 PM AMERICA/NEW_YORK,942,0,117
7088830,FL,PHX,ATL,29-JUL-07 07.00.00.000000000 AM US/ARIZONA,575,29-JUL-07 01.35.00.000000000 PM AMERICA/NEW_YORK,790,0,137
7088314,FL,ATL,MDW,29-JUL-07 05.52.00.000000000 PM AMERICA/NEW_YORK,1047,29-JUL-07 06.49.00.000000000 PM AMERICA/CHICAGO,1164,0,117
7088344,FL,ATL,PBI,29-JUL-07 08.00.00.000000000 AM AMERICA/NEW_YORK,455,29-JUL-07 09.35.00.000000000 AM AMERICA/NEW_YORK,550,0,117
7250887,AA,ATL,DFW,29-JUL-07 12.55.00.000000000 PM AMERICA/NEW_YORK,750,29-JUL-07 02.05.00.000000000 PM AMERICA/CHICAGO,880,0,140
7294396,CO,ATL,IAH,29-JUL-07 06.17.00.000000000 PM AMERICA/NEW_YORK,1072,29-JUL-07 07.41.00.000000000 PM AMERICA/CHICAGO,1216,0,124
6849163,YV,ATL,IAD,29-JUL-07 06.00.00.000000000 AM AMERICA/NEW_YORK,335,29-JUL-07 07.48.00.000000000 AM AMERICA/NEW_YORK,443,0,50
